objectid,filename,thumb,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,rightsstatement,publisher,datacontributor,genre,relation
738,https://elizajames.github.io/WLCB_draft/objects/ff52699806280960c677328d35e6e4e6.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/ff52699806280960c677328d35e6e4e6_th.jpg,,,"Violin-Case, The","Briscoe, Margaret Sutton",1896-08-01,"Full text available at <a href=""http://hearth.library.cornell.edu/cgi/t/text/pageviewer-idx?c=hearth;rgn=full%20text;idno=4732809_1438_030;view=image;seq=10"" target=""_blank"" rel=""noreferrer"">http://hearth.library.cornell.edu/cgi/t/text/pageviewer-idx?c=hearth;rgn=full%20text;idno=4732809_1438_030;view=image;seq=10</a> From: ",,,,,Hearth Archive,VL413,Text,image/gif,http://rightsstatements.org/vocab/NoC-US/1.0/,Harper's Bazar,Monica Malouf,Fiction,
2210,https://elizajames.github.io/WLCB_draft/objects/ff4ad34e1dbc11620e047094035fea48.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/ff4ad34e1dbc11620e047094035fea48_th.jpg,,,Master Shadow,"Litchfield, Grace Denio",1888-04,"From: Grace Denio Litchfield Papers, MS 941 Box 1, scrapbooks",,,,,JHU Special Collections,VL880,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Wide Awake,Jean Lee Cole,Poetry,
290,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,Life Story of Mother Seton,"Malloy, Louise",1924,,,,,,Worldcat,VL134,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,Baltimore Carroll,Kate Kutch,Biography,
2546,https://elizajames.github.io/WLCB_draft/objects/fe0a70d508363b6743fa58689f336527.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/fe0a70d508363b6743fa58689f336527_th.jpg,,,Aunt Tempy's Maryland Dishes,"Dorsey, Marian V. (Mary Dorsey)",1902-12,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024014212;view=1up;seq=479 From:,,,,,HathiTrust,VL927,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Good Housekeeping vol. 35 Jul-Dec 1902,Marina Fazio,Recipe,
2201,https://elizajames.github.io/WLCB_draft/objects/fd04726b93d8027baa5314398c774d33.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/fd04726b93d8027baa5314398c774d33_th.jpg,,,Tweedledee and Tweedledum,"Litchfield, Grace Denio",1887-07-14,"From: Grace Denio Litchfield Papers, MS 941 Box 1, scrapbooks",,,,,JHU Special Collections,VL871,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Independent,Jean Lee Cole,Fiction,
445,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,Youth,Virginia Woodward Cloud,1900,,,,,,Complementary Index,VL285,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,In American Anthology. Houghton Mifflin & Company,Tara Brooky,Poetry,
937,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,"Special Dispensation, A","Cloud, Virginia Woodward ",1904-06,,,,,,Fictionmags,VL601,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,Smart Set,Tara Brooky,Fiction,
446,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,"Wishing Well, The ",Virginia Woodward Cloud,1901,,,,,,Complementary Index,VL286,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,In Successful Recitations. H. Virtue & Co.,Tara Brooky,Poetry,
1869,https://elizajames.github.io/WLCB_draft/objects/fb87665a68f7f4f3791363293b1c7118.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/fb87665a68f7f4f3791363293b1c7118_th.jpg,,,"Interruption, The","Smith, Harriet Lummis",1910-02-03,,,,,,American Periodicals Series,VL676,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Youth's Companion,Jean Lee Cole,Fiction,
1862,https://elizajames.github.io/WLCB_draft/objects/fb6275febf11e6801994329563121445.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/fb6275febf11e6801994329563121445_th.jpg,,,"Departure in Missionary Work, A","Smith, Harriet Lummis",1909-04-28,,,,,,American Periodicals Series,VL669,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Zion's Herald,Jean Lee Cole,Fiction,
384,https://elizajames.github.io/WLCB_draft/objects/fb5fee4e0119776aa42ed65ce1fd2985.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/fb5fee4e0119776aa42ed65ce1fd2985_th.jpg,,,Russia and Turkey in the Nineteenth Century,Latimer Elizabeth Wormeley,1894,"Full-text available at <a href=""https://archive.org/details/russiaandturkey01latigoog"">https://archive.org/details/russiaandturkey01latigoog</a> From: ",,,,,WorldCat,VL229,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,"Chicago, A.C. McClurg",Ellen Roussel,History,
216,https://elizajames.github.io/WLCB_draft/objects/fb5af043bcf679fc5b9907f95ed69961.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/fb5af043bcf679fc5b9907f95ed69961_th.jpg,,,"Point of Honor, A","Duvall, Ellen",1901-08,"Full text available at <a href=""https://books.google.com/books?id=G0NDAQAAMAAJ&amp;pg=PP14&amp;dq=point+of+honor,+ellen+duvall&amp;hl=en&amp;sa=X&amp;ved=0ahUKEwiWiK7v6IfZAhWPxVkKHUCXCxUQ6AEIKTAA#v=onepage&amp;q&amp;f=false"" target=""_blank"" rel=""noreferrer"">https://books.google.com/books?id=G0NDAQAAMAAJ&amp;pg=PP14&amp;dq=point+of+honor,+ellen+duvall&amp;hl=en&amp;sa=X&amp;ved=0ahUKEwiWiK7v6IfZAhWPxVkKHUCXCxUQ6AEIKTAA#v=onepage&amp;q&amp;f=false</a> From: ",,,,,Google Books,VL64,Text,image/png,http://rightsstatements.org/vocab/NoC-US/1.0/,Atlantic Monthly,Katie Kazmierski,Fiction,
2532,https://elizajames.github.io/WLCB_draft/objects/faad06a8e952dffa788019f10593ed5f.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/faad06a8e952dffa788019f10593ed5f_th.jpg,,,You Can Easily Be Charrming,"Dorsey, Marian V. (Mary Dorsey)",1911-08-27,From: p. 43,,,,,Newspapers.com,VL915,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Chicago Tribune,Jean Lee Cole,,
949,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,What Things Befell the Squire's House,"Cloud, Virginia Woodward ",1892-07,,,,,,Fictionmags,VL613,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,St. Nicholas,Tara Brooky,Poetry,
2174,https://elizajames.github.io/WLCB_draft/objects/f89ac47786465f75730504e53afa6a86.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/f89ac47786465f75730504e53afa6a86_th.jpg,,,Bend of the Road,"Litchfield, Grace Denio",1902-02,"From: Vol. 63, p584",,,,,Reader's Guide,VL845,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,Century,Ellen Roussel,Poetry,
1908,https://elizajames.github.io/WLCB_draft/objects/f86675801399b48ce24a876a8fb4aac3.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/f86675801399b48ce24a876a8fb4aac3_th.jpg,,,"Girls of Friendly Terrace; or, Peggy Raymond's Success, The","Smith, Harriet Lummis",1912,Full text available at https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3jw88c76;view=1up;seq=9 From:,,,,,HathiTrust,VL714,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,Boston: L. C. Page,Jean Lee Cole,Fiction,
1939,https://elizajames.github.io/WLCB_draft/objects/f812449a386bd32f17245379a4872068.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/f812449a386bd32f17245379a4872068_th.jpg,,,Baltimore high school girls solving problem of correct daily dress,Lantz Emily Emerson,1920-04-04,,,,,,ProQuest,VL743,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Baltimore Sun,,Journalism,
337,https://elizajames.github.io/WLCB_draft/objects/f7f9d84cfd1b2eed7d9bdd4653599216.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/f7f9d84cfd1b2eed7d9bdd4653599216_th.jpg,,,Salt of the Earth,Margaret Sutton Hopkins (formerly Margaret Sutton Briscoe),1897-07-08,,,,,,Reader's Guide,VL178,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Outlook (1893),Monica Malouf,Fiction,"Published in Jimty, and Other Stories"
156,https://elizajames.github.io/WLCB_draft/objects/f78007f9ba6ed1ee3dd1a7490ad29de5.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/f78007f9ba6ed1ee3dd1a7490ad29de5_th.jpg,,,Deaf and Dumb!,Harriet Lummis Smith,1910-10-11; 1910-06-11; 1910-06-25,"1910-10-11 (Baltimore Sun); 1910-06-11 (St. Tammany Farmer, LA); 1910-06-25 (Charlevoix County Herald, Michigan) From: ",,,,,https://drive.google.com/open?authuser=0&usp=forms_web&id=1L2ZnrvgIFAq4IrqyRbu38HvFAWOsmZu5,VL12,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Baltimore Sun; Associated Literary Press,Cynthia Requardt,Fiction,
948,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,"Vigil, A","Cloud, Virginia Woodward ",1901-09,,,,,,Fictionmags,VL612,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,Pearson's Magazine (US),Tara Brooky,Poetry,
441,https://elizajames.github.io/WLCB_draft/objects/f7356c4e15899673bce237daa06573c8.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/f7356c4e15899673bce237daa06573c8_th.jpg,,,"Collected poems of Virginia Woodward Cloud, The",Virginia Woodward Cloud,1922,,,,,,,VL281,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,"Baltimore, The Norman, Remington Co.",Tara Brooky,Poetry,
412,https://elizajames.github.io/WLCB_draft/objects/f6fda6eb55dff3dfae16964c3d159509.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/f6fda6eb55dff3dfae16964c3d159509_th.jpg,,,"Burning Question, The ",Litchfield Grace Denio,1913,"Full-text available at <a href=""https://babel.hathitrust.org/cgi/pt?id=hvd.hn1u7p;view=1up;seq=5"">https://babel.hathitrust.org/cgi/pt?id=hvd.hn1u7p;view=1up;seq=5</a> From: ",,,,,WorldCat,VL257,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,New York ; London : G.P. Putnam's Sons,Ellen Roussel,Fiction,
838,https://elizajames.github.io/WLCB_draft/objects/f642bc1ff0d1bdeb81891301a3eb7553.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/f642bc1ff0d1bdeb81891301a3eb7553_th.jpg,,,Recent Jewish Progress in Palestine,"Szold, Henrietta",1915,"Full text available at <a href=""https://babel.hathitrust.org/cgi/pt?id=nnc1.cu58954724;view=1up;seq=8"" target=""_blank"" rel=""noreferrer"">https://babel.hathitrust.org/cgi/pt?id=nnc1.cu58954724;view=1up;seq=8</a> From: ",,,,,Online Books Page,VL507,Text,image/png,http://rightsstatements.org/vocab/NoC-US/1.0/,Philadelphia: Jewish Publications,Megan Hultberg,Other,
420,https://elizajames.github.io/WLCB_draft/objects/f5e8d796d28679f5db52b5f48650ee60.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/f5e8d796d28679f5db52b5f48650ee60_th.jpg,,,"Hard-Won Victory, A ",Litchfield Grace Denio,1888,"Full text available at <a href=""https://babel.hathitrust.org/cgi/pt?id=mdp.39015063923083;view=1up;seq=9"" target=""_blank"" rel=""noreferrer"">https://babel.hathitrust.org/cgi/pt?id=mdp.39015063923083;view=1up;seq=9</a> From: ",,,,,WorldCat,VL265,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,New York : G.P. Putnam's Sons,Ellen Roussel,Fiction,
